Experiment,Acc Mean,Acc Std,F1 Mean,F1 Std
Audio_SelfVideo,0.8480053191489361,0.0038906220314701527,0.847963968221638,0.0038867361742318967
Full_Dyadic,0.8545212765957448,0.005569253082811682,0.8542921957360987,0.0057774236184970846
No_Audio,0.8356382978723405,0.0022011895421870497,0.8354911932813076,0.0022005327098771803
No_Partner,0.8527925531914894,0.0031355920538700954,0.8524146040943867,0.003183792548595943
No_SelfVideo,0.7897606382978724,0.005035663890628048,0.7881462715345564,0.0054606939494171985
No_Text,0.8511968085106382,0.006627625422541004,0.851092203949585,0.006533718482267591
Only_PartnerVideo,0.5920212765957447,0.008856822236886585,0.5836300552964141,0.009125119061809505
Only_SelfVideo,0.8386968085106382,0.002808339372598787,0.8386035135175881,0.002820871192809611
SelfVideo_PartnerVideo,0.839627659574468,0.005967767466041691,0.8394993720761319,0.005976954855290638
Audio_DyadicFAU,0.8667553191489361,0.004422417326679752,0.8666431660543402,0.004451809766393366
Audio_FAU_Only,0.8541223404255319,0.007168527644650814,0.8534212172757416,0.007759809619005719
Audio_SelfVideo,0.8480053191489361,0.0038906220314701527,0.847963968221638,0.0038867361742318967
Full_Dyadic,0.8545212765957448,0.005569253082811682,0.8542921957360987,0.0057774236184970846
No_Audio,0.8356382978723405,0.0022011895421870497,0.8354911932813076,0.0022005327098771803
No_Partner,0.8527925531914894,0.0031355920538700954,0.8524146040943867,0.003183792548595943
No_SelfVideo,0.7897606382978724,0.005035663890628048,0.7881462715345564,0.0054606939494171985
No_Text,0.8511968085106382,0.006627625422541004,0.851092203949585,0.006533718482267591
Only_PartnerVideo,0.5920212765957447,0.008856822236886585,0.5836300552964141,0.009125119061809505
Only_SelfVideo,0.8386968085106382,0.002808339372598787,0.8386035135175881,0.002820871192809611
SelfVideo_PartnerVideo,0.839627659574468,0.005967767466041691,0.8394993720761319,0.005976954855290638
Audio_DyadicFAU,0.8667553191489361,0.004422417326679752,0.8666431660543402,0.004451809766393366
Audio_FAU_Only,0.8541223404255319,0.007168527644650814,0.8534212172757416,0.007759809619005719
Body_Only,0.7329787234042553,0.005985519912195149,0.732370644636329,0.0058457783284470545
Body_Speaker_FAU_Partner,0.7376329787234044,0.004986258845545904,0.7363052309777763,0.004844706065292203
FAU_Body,0.851063829787234,0.004922009447691947,0.8509087994460142,0.0050725123370052375
FAU_Gaze,0.8337765957446809,0.0027575054991127216,0.8330188831560849,0.0029487201622734253
FAU_Head,0.8363031914893618,0.005756611920721621,0.8362262822336068,0.005780157969676351
FAU_Only,0.831781914893617,0.0066887108191272734,0.8312426920341274,0.006861572677949945
Face_Only,0.8384308510638299,0.004548572174597638,0.8382866482982421,0.004464550588040455
Full_Visual_Dyadic,0.8422872340425531,0.004594987378502938,0.8422022877624556,0.004584991752404542
Gaze_Only,0.5831117021276595,0.07499929266302938,0.5186759172315845,0.12654687476017973
Head_Only,0.7191489361702128,0.004321297023742547,0.7190314245816086,0.004240408355092224
Body_Only,0.7329787234042553,0.005985519912195149,0.732370644636329,0.0058457783284470545
Body_Speaker_FAU_Partner,0.7376329787234044,0.004986258845545904,0.7363052309777763,0.004844706065292203
FAU_Body,0.851063829787234,0.004922009447691947,0.8509087994460142,0.0050725123370052375
FAU_Gaze,0.8337765957446809,0.0027575054991127216,0.8330188831560849,0.0029487201622734253
FAU_Head,0.8363031914893618,0.005756611920721621,0.8362262822336068,0.005780157969676351
FAU_Only,0.831781914893617,0.0066887108191272734,0.8312426920341274,0.006861572677949945
Face_Only,0.8384308510638299,0.004548572174597638,0.8382866482982421,0.004464550588040455
Full_Visual_Dyadic,0.8422872340425531,0.004594987378502938,0.8422022877624556,0.004584991752404542
Gaze_Only,0.5831117021276595,0.07499929266302938,0.5186759172315845,0.12654687476017973
Head_Only,0.7191489361702128,0.004321297023742547,0.7190314245816086,0.004240408355092224
